0.00000000E+00  0.00000000E+00  0.00000000E+00   -5.0540516558321402E-01  2.5015557042325492E-01 -2.5524959515995910E-01   -0.0000000000000000E+00    7.5603942497466688E-16  4.8128691795920790E-16    3.6328238269214405E-03 -6.1986346853614028E-03 -5.3859859860476173E-04   1.76918507E-02 7.48300000E-02 2.76100000E-03 
1.25000000E-01  1.03000000E+03  1.44973000E+05   -5.0590135430683481E-01  2.5065221856679276E-01 -2.5524913574004204E-01   -1.7998849979208576E-06    5.4993364756269851E-08  5.6453239195088292E-07    3.6325911518874554E-03 -6.1987806686503878E-03 -5.3864894715362959E-04   5.98352909E-01 2.19208400E+00 4.29419000E-01 
2.50000000E-01  2.43100000E+03  2.86133000E+05   -5.0655884592727740E-01  2.5130971415359638E-01 -2.5524913177368103E-01   -1.5539175111817356E-08    1.2528258007333546E-07  5.6345139443965749E-07    3.6325928115073843E-03 -6.1987804859091550E-03 -5.3864944410337559E-04   1.28356791E+00 4.37060900E+00 1.03780100E+00 
3.75000000E-01  3.69800000E+03  4.32697000E+05   -5.0708783282272807E-01  2.5183870540331460E-01 -2.5524912741941347E-01   -1.7058892727155927E-08    1.9568389585458100E-07  5.6283797968620336E-07    3.6325941944135845E-03 -6.1987804911505613E-03 -5.3864892958207123E-04   2.02222800E+00 6.58777200E+00 1.59923400E+00 
5.00000000E-01  4.81300000E+03  5.75535000E+05   -5.0769186353211815E-01  2.5244273886881102E-01 -2.5524912466330713E-01   -1.0797711126433944E-08    2.6591689500393288E-07  5.6270448687867270E-07    3.6325935192808427E-03 -6.1987822263925418E-03 -5.3864961800461871E-04   2.63656402E+00 8.76285700E+00 2.08045200E+00 
6.25000000E-01  6.18200000E+03  7.22978000E+05   -5.0814903226518615E-01  2.5289990725967504E-01 -2.5524912500551111E-01    1.3406666440891959E-09    3.3600342268197959E-07  5.6142958200090472E-07    3.6325968563883219E-03 -6.1987834160090495E-03 -5.3865182536927902E-04   3.40226889E+00 1.10734840E+01 2.67298000E+00 
7.50000000E-01  7.43900000E+03  8.70244000E+05   -5.0879992157631393E-01  2.5355079731105762E-01 -2.5524912426525631E-01   -2.9001266973388915E-09    4.0617228675403008E-07  5.6095590986608637E-07    3.6325964410562814E-03 -6.1987842670571842E-03 -5.3865101018319773E-04   4.06497693E+00 1.33107450E+01 3.20727600E+00 
8.75000000E-01  8.41400000E+03  1.01352700E+06   -5.0928167066875518E-01  2.5403254912780993E-01 -2.5524912154094526E-01   -1.0673145548949487E-08    4.7634152324854324E-07  5.6105860380870670E-07    3.6325983634323353E-03 -6.1987817527481308E-03 -5.3865142664801511E-04   4.67429185E+00 1.54914540E+01 3.61966200E+00 
1.00000000E+00  9.90400000E+03  1.16137000E+06   -5.0986956944319384E-01  2.5462044820762791E-01 -2.5524912123556592E-01   -1.1963971945861900E-09    5.4619339918915605E-07  5.5764904264549648E-07    3.6326003623428659E-03 -6.1987792347559748E-03 -5.3864842488617320E-04   5.40659189E+00 1.77961870E+01 4.28853400E+00 
0.00000000E+00  0.00000000E+00  0.00000000E+00   -5.0540516558321402E-01  2.5015557042325492E-01 -2.5524959515995910E-01   -0.0000000000000000E+00    7.5603942497466688E-16  4.8128691795920790E-16    3.6328238269214405E-03 -6.1986346853614028E-03 -5.3859859860476173E-04   1.59010887E-02 7.74940000E-02 3.12500000E-03 
1.25000000E-01  1.03000000E+03  1.44973000E+05   -5.0590135430683481E-01  2.5065221856679276E-01 -2.5524913574004204E-01   -1.7998849979208576E-06    5.4993364756269851E-08  5.6453239195088292E-07    3.6325911518874554E-03 -6.1987806686503878E-03 -5.3864894715362959E-04   6.47674084E-01 2.19585400E+00 4.23915000E-01 
2.50000000E-01  2.43100000E+03  2.86133000E+05   -5.0655884592727740E-01  2.5130971415359638E-01 -2.5524913177368103E-01   -1.5539175111817356E-08    1.2528258007333546E-07  5.6345139443965749E-07    3.6325928115073843E-03 -6.1987804859091550E-03 -5.3864944410337559E-04   1.30635405E+00 4.38364300E+00 1.02663300E+00 
3.75000000E-01  3.69800000E+03  4.32697000E+05   -5.0708783282272807E-01  2.5183870540331460E-01 -2.5524912741941347E-01   -1.7058892727155927E-08    1.9568389585458100E-07  5.6283797968620336E-07    3.6325941944135845E-03 -6.1987804911505613E-03 -5.3864892958207123E-04   2.01977515E+00 6.60023100E+00 1.57688600E+00 
5.00000000E-01  4.81300000E+03  5.75535000E+05   -5.0769186353211815E-01  2.5244273886881102E-01 -2.5524912466330713E-01   -1.0797711126433944E-08    2.6591689500393288E-07  5.6270448687867270E-07    3.6325935192808427E-03 -6.1987822263925418E-03 -5.3864961800461871E-04   2.64073515E+00 8.73507000E+00 2.06784200E+00 
6.25000000E-01  6.18200000E+03  7.22978000E+05   -5.0814903226518615E-01  2.5289990725967504E-01 -2.5524912500551111E-01    1.3406666440891959E-09    3.3600342268197959E-07  5.6142958200090472E-07    3.6325968563883219E-03 -6.1987834160090495E-03 -5.3865182536927902E-04   3.34715009E+00 1.09975470E+01 2.66231800E+00 
7.50000000E-01  7.43900000E+03  8.70244000E+05   -5.0879992157631393E-01  2.5355079731105762E-01 -2.5524912426525631E-01   -2.9001266973388915E-09    4.0617228675403008E-07  5.6095590986608637E-07    3.6325964410562814E-03 -6.1987842670571842E-03 -5.3865101018319773E-04   3.99728608E+00 1.32785950E+01 3.20306300E+00 
